question_num,search_query,url,Question,Options,Correct answer,Image URLs,Comments
26,examtopics databricks data engineer professional certification question 26,https://www.examtopics.com/discussions/databricks/view/117097-exam-certified-data-engineer-professional-topic-1-question/,"Each configuration below is identical to the extent that each cluster has 400 GB total of RAM, 160 total cores and only one Executor per VM.Given a job with at least one wide transformation, which of the following cluster configurations will result in maximum performance?","['A.• Total VMs; 1• 400 GB per Executor• 160 Cores / Executor', 'B.• Total VMs: 8• 50 GB per Executor• 20 Cores / Executor', 'C.• Total VMs: 16• 25 GB per Executor• 10 Cores/Executor', 'D.• Total VMs: 4• 100 GB per Executor• 40 Cores/Executor', 'E.• Total VMs:2• 200 GB per Executor• 80 Cores / Executor']",['C.• Total VMs: 16• 25 GB per Executor• 10 Cores/Executor'],[],
27,examtopics databricks data engineer professional certification question 27,https://www.examtopics.com/discussions/databricks/view/121337-exam-certified-data-engineer-professional-topic-1-question/,"A junior data engineer on your team has implemented the following code block.The view new_events contains a batch of records with the same schema as the events Delta table. The event_id field serves as a unique key for this table.When this query is executed, what will happen with new records that have the same event_id as an existing record?","['A.They are merged.', 'B.They are ignored.', 'C.They are updated.', 'D.They are inserted.', 'E.They are deleted.']",['B.They are ignored.'],['https://img.examtopics.com/certified-data-engineer-professional/image13.png'],
28,examtopics databricks data engineer professional certification question 28,https://www.examtopics.com/discussions/databricks/view/117098-exam-certified-data-engineer-professional-topic-1-question/,A junior data engineer seeks to leverage Delta Lake's Change Data Feed functionality to create a Type 1 table representing all of the values that have ever been valid for all rows in a bronze table created with the property delta.enableChangeDataFeed = true. They plan to execute the following code as a daily job:Which statement describes the execution and results of running the above query multiple times?,"['A.Each time the job is executed, newly updated records will be merged into the target table, overwriting previous values with the same primary keys.', 'B.Each time the job is executed, the entire available history of inserted or updated records will be appended to the target table, resulting in many duplicate entries.', 'C.Each time the job is executed, the target table will be overwritten using the entire history of inserted or updated records, giving the desired result.', 'D.Each time the job is executed, the differences between the original and current versions are calculated; this may result in duplicate entries for some records.', 'E.Each time the job is executed, only those records that have been inserted or updated since the last execution will be appended to the target table, giving the desired result.']","['B.Each time the job is executed, the entire available history of inserted or updated records will be appended to the target table, resulting in many duplicate entries.']",['https://img.examtopics.com/certified-data-engineer-professional/image14.png'],
29,examtopics databricks data engineer professional certification question 29,https://www.examtopics.com/discussions/databricks/view/125387-exam-certified-data-engineer-professional-topic-1-question/,"A new data engineer notices that a critical field was omitted from an application that writes its Kafka source to Delta Lake. This happened even though the critical field was in the Kafka source. That field was further missing from data written to dependent, long-term storage. The retention threshold on the Kafka service is seven days. The pipeline has been in production for three months.Which describes how Delta Lake can help to avoid data loss of this nature in the future?","['A.The Delta log and Structured Streaming checkpoints record the full history of the Kafka producer.', 'B.Delta Lake schema evolution can retroactively calculate the correct value for newly added fields, as long as the data was in the original source.', 'C.Delta Lake automatically checks that all fields present in the source data are included in the ingestion layer.', 'D.Data can never be permanently dropped or deleted from Delta Lake, so data loss is not possible under any circumstance.', 'E.Ingesting all raw data and metadata from Kafka to a bronze Delta table creates a permanent, replayable history of the data state.']","['E.Ingesting all raw data and metadata from Kafka to a bronze Delta table creates a permanent, replayable history of the data state.']",[],
30,examtopics databricks data engineer professional certification question 30,https://www.examtopics.com/discussions/databricks/view/120700-exam-certified-data-engineer-professional-topic-1-question/,A nightly job ingests data into a Delta Lake table using the following code:The next step in the pipeline requires a function that returns an object that can be used to manipulate new records that have not yet been processed to the next table in the pipeline.Which code snippet completes this function definition?def new_records():,"['A.return spark.readStream.table(""bronze"")', 'B.return spark.readStream.load(""bronze"")', 'C.', 'D.return spark.read.option(""readChangeFeed"", ""true"").table (""bronze"")', 'E.']","['A.return spark.readStream.table(""bronze"")']",['https://img.examtopics.com/certified-data-engineer-professional/image15.png'],
31,examtopics databricks data engineer professional certification question 31,https://www.examtopics.com/discussions/databricks/view/120702-exam-certified-data-engineer-professional-topic-1-question/,"A junior data engineer is working to implement logic for a Lakehouse table named silver_device_recordings. The source data contains 100 unique fields in a highly nested JSON structure.The silver_device_recordings table will be used downstream to power several production monitoring dashboards and a production model. At present, 45 of the 100 fields are being used in at least one of these applications.The data engineer is trying to determine the best approach for dealing with schema declaration given the highly-nested structure of the data and the numerous fields.Which of the following accurately presents information about Delta Lake and Databricks that may impact their decision-making process?","['A.The Tungsten encoding used by Databricks is optimized for storing string data; newly-added native support for querying JSON strings means that string types are always most efficient.', 'B.Because Delta Lake uses Parquet for data storage, data types can be easily evolved by just modifying file footer information in place.', 'C.Human labor in writing code is the largest cost associated with data engineering workloads; as such, automating table declaration logic should be a priority in all migration workloads.', 'D.Because Databricks will infer schema using types that allow all observed data to be processed, setting types manually provides greater assurance of data quality enforcement.', 'E.Schema inference and evolution on Databricks ensure that inferred types will always accurately match the data types used by downstream systems.']","['D.Because Databricks will infer schema using types that allow all observed data to be processed, setting types manually provides greater assurance of data quality enforcement.']",[],
32,examtopics databricks data engineer professional certification question 32,https://www.examtopics.com/discussions/databricks/view/123741-exam-certified-data-engineer-professional-topic-1-question/,"The data engineering team maintains the following code:Assuming that this code produces logically correct results and the data in the source tables has been de-duplicated and validated, which statement describes what will occur when this code is executed?","['A.A batch job will update the enriched_itemized_orders_by_account table, replacing only those rows that have different values than the current version of the table, using accountID as the primary key.', 'B.The enriched_itemized_orders_by_account table will be overwritten using the current valid version of data in each of the three tables referenced in the join logic.', 'C.An incremental job will leverage information in the state store to identify unjoined rows in the source tables and write these rows to the enriched_iteinized_orders_by_account table.', 'D.An incremental job will detect if new rows have been written to any of the source tables; if new rows are detected, all results will be recalculated and used to overwrite the enriched_itemized_orders_by_account table.', 'E.No computation will occur until enriched_itemized_orders_by_account is queried; upon query materialization, results will be calculated using the current valid version of data in each of the three tables referenced in the join logic.']",['B.The enriched_itemized_orders_by_account table will be overwritten using the current valid version of data in each of the three tables referenced in the join logic.'],['https://img.examtopics.com/certified-data-engineer-professional/image18.png'],
33,examtopics databricks data engineer professional certification question 33,https://www.examtopics.com/discussions/databricks/view/124155-exam-certified-data-engineer-professional-topic-1-question/,"The data engineering team is migrating an enterprise system with thousands of tables and views into the Lakehouse. They plan to implement the target architecture using a series of bronze, silver, and gold tables. Bronze tables will almost exclusively be used by production data engineering workloads, while silver tables will be used to support both data engineering and machine learning workloads. Gold tables will largely serve business intelligence and reporting purposes. While personal identifying information (PII) exists in all tiers of data, pseudonymization and anonymization rules are in place for all data at the silver and gold levels.The organization is interested in reducing security concerns while maximizing the ability to collaborate across diverse teams.Which statement exemplifies best practices for implementing this system?","['A.Isolating tables in separate databases based on data quality tiers allows for easy permissions management through database ACLs and allows physical separation of default storage locations for managed tables.', 'B.Because databases on Databricks are merely a logical construct, choices around database organization do not impact security or discoverability in the Lakehouse.', 'C.Storing all production tables in a single database provides a unified view of all data assets available throughout the Lakehouse, simplifying discoverability by granting all users view privileges on this database.', 'D.Working in the default Databricks database provides the greatest security when working with managed tables, as these will be created in the DBFS root.', ""E.Because all tables must live in the same storage containers used for the database they're created in, organizations should be prepared to create between dozens and thousands of databases depending on their data isolation requirements.""]",['A.Isolating tables in separate databases based on data quality tiers allows for easy permissions management through database ACLs and allows physical separation of default storage locations for managed tables.'],[],
34,examtopics databricks data engineer professional certification question 34,https://www.examtopics.com/discussions/databricks/view/124156-exam-certified-data-engineer-professional-topic-1-question/,The data architect has mandated that all tables in the Lakehouse should be configured as external Delta Lake tables.Which approach will ensure that this requirement is met?,"['A.Whenever a database is being created, make sure that the LOCATION keyword is used', 'B.When configuring an external data warehouse for all table storage, leverage Databricks for all ELT.', 'C.Whenever a table is being created, make sure that the LOCATION keyword is used.', 'D.When tables are created, make sure that the EXTERNAL keyword is used in the CREATE TABLE statement.', 'E.When the workspace is being configured, make sure that external cloud object storage has been mounted.']","['C.Whenever a table is being created, make sure that the LOCATION keyword is used.']",[],
35,examtopics databricks data engineer professional certification question 35,https://www.examtopics.com/discussions/databricks/view/122481-exam-certified-data-engineer-professional-topic-1-question/,"To reduce storage and compute costs, the data engineering team has been tasked with curating a series of aggregate tables leveraged by business intelligence dashboards, customer-facing applications, production machine learning models, and ad hoc analytical queries.The data engineering team has been made aware of new requirements from a customer-facing application, which is the only downstream workload they manage entirely. As a result, an aggregate table used by numerous teams across the organization will need to have a number of fields renamed, and additional fields will also be added.Which of the solutions addresses the situation while minimally interrupting other teams in the organization without increasing the number of tables that need to be managed?","['A.Send all users notice that the schema for the table will be changing; include in the communication the logic necessary to revert the new table schema to match historic queries.', 'B.Configure a new table with all the requisite fields and new names and use this as the source for the customer-facing application; create a view that maintains the original data schema and table name by aliasing select fields from the new table.', ""C.Create a new table with the required schema and new fields and use Delta Lake's deep clone functionality to sync up changes committed to one table to the corresponding table."", 'D.Replace the current table definition with a logical view defined with the query logic currently writing the aggregate table; create a new table to power the customer-facing application.', 'E.Add a table comment warning all users that the table schema and field names will be changing on a given date; overwrite the table in place to the specifications of the customer-facing application.']",['B.Configure a new table with all the requisite fields and new names and use this as the source for the customer-facing application; create a view that maintains the original data schema and table name by aliasing select fields from the new table.'],[],
