question_num,search_query,url,Question,Options,Correct answer,Image URLs,Comments
151,examtopics databricks data engineer professional certification question 151,https://www.examtopics.com/discussions/databricks/view/142393-exam-certified-data-engineer-professional-topic-1-question/,"A junior data engineer is working to implement logic for a Lakehouse table named silver_device_recordings. The source data contains 100 unique fields in a highly nested JSON structure.The silver_device_recordings table will be used downstream to power several production monitoring dashboards and a production model. At present, 45 of the 100 fields are being used in at least one of these applications.The data engineer is trying to determine the best approach for dealing with schema declaration given the highly-nested structure of the data and the numerous fields.Which of the following accurately presents information about Delta Lake and Databricks that may impact their decision-making process?","['A.The Tungsten encoding used by Databricks is optimized for storing string data; newly-added native support for querying JSON strings means that string types are always most efficient.', 'B.Because Delta Lake uses Parquet for data storage, data types can be easily evolved by just modifying file footer information in place.', 'C.Schema inference and evolution on Databricks ensure that inferred types will always accurately match the data types used by downstream systems.', 'D.Because Databricks will infer schema using types that allow all observed data to be processed, setting types manually provides greater assurance of data quality enforcement.']","['D.Because Databricks will infer schema using types that allow all observed data to be processed, setting types manually provides greater assurance of data quality enforcement.']",[],
152,examtopics databricks data engineer professional certification question 152,https://www.examtopics.com/discussions/databricks/view/142394-exam-certified-data-engineer-professional-topic-1-question/,"The data engineering team maintains the following code:Assuming that this code produces logically correct results and the data in the source tables has been de-duplicated and validated, which statement describes what will occur when this code is executed?","['A.A batch job will update the enriched_itemized_orders_by_account table, replacing only those rows that have different values than the current version of the table, using accountID as the primary key.', 'B.The enriched_itemized_orders_by_account table will be overwritten using the current valid version of data in each of the three tables referenced in the join logic.', 'C.No computation will occur until enriched_itemized_orders_by_account is queried; upon query materialization, results will be calculated using the current valid version of data in each of the three tables referenced in the join logic.', 'D.An incremental job will detect if new rows have been written to any of the source tables; if new rows are detected, all results will be recalculated and used to overwrite the enriched_itemized_orders_by_account table.']",['B.The enriched_itemized_orders_by_account table will be overwritten using the current valid version of data in each of the three tables referenced in the join logic.'],['https://img.examtopics.com/certified-data-engineer-professional/image68.png'],
153,examtopics databricks data engineer professional certification question 153,https://www.examtopics.com/discussions/databricks/view/149874-exam-certified-data-engineer-professional-topic-1-question/,"The data engineering team is configuring environments for development, testing, and production before beginning migration on a new data pipeline. The team requires extensive testing on both the code and data resulting from code execution, and the team wants to develop and test against data as similar to production data as possible.A junior data engineer suggests that production data can be mounted to the development and testing environments, allowing pre-production code to execute against production data. Because all users have admin privileges in the development environment, the junior data engineer has offered to configure permissions and mount this data for the team.Which statement captures best practices for this situation?","['A.All development, testing, and production code and data should exist in a single, unified workspace; creating separate environments for testing and development complicates administrative overhead.', 'B.In environments where interactive code will be executed, production data should only be accessible with read permissions; creating isolated databases for each environment further reduces risks.', 'C.Because access to production data will always be verified using passthrough credentials, it is safe to mount data to any Databricks development environment.', 'D.Because Delta Lake versions all data and supports time travel, it is not possible for user error or malicious actors to permanently delete production data; as such, it is generally safe to mount production data anywhere.']","['B.In environments where interactive code will be executed, production data should only be accessible with read permissions; creating isolated databases for each environment further reduces risks.']",[],
154,examtopics databricks data engineer professional certification question 154,https://www.examtopics.com/discussions/databricks/view/149876-exam-certified-data-engineer-professional-topic-1-question/,The data architect has mandated that all tables in the Lakehouse should be configured as external Delta Lake tables.Which approach will ensure that this requirement is met?,"['A.Whenever a database is being created, make sure that the LOCATION keyword is used.', 'B.When the workspace is being configured, make sure that external cloud object storage has been mounted.', 'C.Whenever a table is being created, make sure that the LOCATION keyword is used.', 'D.When tables are created, make sure that the UNMANAGED keyword is used in the CREATE TABLE statement.']","['C.Whenever a table is being created, make sure that the LOCATION keyword is used.']",[],
155,examtopics databricks data engineer professional certification question 155,https://www.examtopics.com/discussions/databricks/view/147232-exam-certified-data-engineer-professional-topic-1-question/,"The marketing team is looking to share data in an aggregate table with the sales organization, but the field names used by the teams do not match, and a number of marketing-specific fields have not been approved for the sales org.Which of the following solutions addresses the situation while emphasizing simplicity?","['A.Create a view on the marketing table selecting only those fields approved for the sales team; alias the names of any fields that should be standardized to the sales naming conventions.', ""B.Create a new table with the required schema and use Delta Lake's DEEP CLONE functionality to sync up changes committed to one table to the corresponding table."", 'C.Use a CTAS statement to create a derivative table from the marketing table; configure a production job to propagate changes.', 'D.Add a parallel table write to the current production pipeline, updating a new sales table that varies as required from the marketing table.']",['A.Create a view on the marketing table selecting only those fields approved for the sales team; alias the names of any fields that should be standardized to the sales naming conventions.'],[],
156,examtopics databricks data engineer professional certification question 156,https://www.examtopics.com/discussions/databricks/view/144262-exam-certified-data-engineer-professional-topic-1-question/,"A Delta Lake table representing metadata about content posts from users has the following schema:user_id LONG, post_text STRING, post_id STRING, longitude FLOAT, latitude FLOAT, post_time TIMESTAMP, date DATEThis table is partitioned by the date column. A query is run with the following filter:longitude < 20 & longitude > -20Which statement describes how data will be filtered?","['A.Statistics in the Delta Log will be used to identify partitions that might Include files in the filtered range.', 'B.No file skipping will occur because the optimizer does not know the relationship between the partition column and the longitude.', 'C.The Delta Engine will scan the parquet file footers to identify each row that meets the filter criteria.', 'D.Statistics in the Delta Log will be used to identify data files that might include records in the filtered range.']",['D.Statistics in the Delta Log will be used to identify data files that might include records in the filtered range.'],[],
157,examtopics databricks data engineer professional certification question 157,https://www.examtopics.com/discussions/databricks/view/142396-exam-certified-data-engineer-professional-topic-1-question/,"A small company based in the United States has recently contracted a consulting firm in India to implement several new data engineering pipelines to power artificial intelligence applications. All the company's data is stored in regional cloud storage in the United States.The workspace administrator at the company is uncertain about where the Databricks workspace used by the contractors should be deployed.Assuming that all data governance considerations are accounted for, which statement accurately informs this decision?","['A.Databricks runs HDFS on cloud volume storage; as such, cloud virtual machines must be deployed in the region where the data is stored.', 'B.Databricks workspaces do not rely on any regional infrastructure; as such, the decision should be made based upon what is most convenient for the workspace administrator.', 'C.Cross-region reads and writes can incur significant costs and latency; whenever possible, compute should be deployed in the same region the data is stored.', 'D.Databricks notebooks send all executable code from the user’s browser to virtual machines over the open internet; whenever possible, choosing a workspace region near the end users is the most secure.']","['C.Cross-region reads and writes can incur significant costs and latency; whenever possible, compute should be deployed in the same region the data is stored.']",[],
158,examtopics databricks data engineer professional certification question 158,https://www.examtopics.com/discussions/databricks/view/144263-exam-certified-data-engineer-professional-topic-1-question/,"A CHECK constraint has been successfully added to the Delta table named activity_details using the following logic:A batch job is attempting to insert new records to the table, including a record where latitude = 45.50 and longitude = 212.67.Which statement describes the outcome of this batch insert?","['A.The write will insert all records except those that violate the table constraints; the violating records will be reported in a warning log.', 'B.The write will fail completely because of the constraint violation and no records will be inserted into the target table.', 'C.The write will insert all records except those that violate the table constraints; the violating records will be recorded to a quarantine table.', 'D.The write will include all records in the target table; any violations will be indicated in the boolean column named valid_coordinates.']",['B.The write will fail completely because of the constraint violation and no records will be inserted into the target table.'],['https://img.examtopics.com/certified-data-engineer-professional/image69.png'],
159,examtopics databricks data engineer professional certification question 159,https://www.examtopics.com/discussions/databricks/view/142397-exam-certified-data-engineer-professional-topic-1-question/,"A junior data engineer is migrating a workload from a relational database system to the Databricks Lakehouse. The source system uses a star schema, leveraging foreign key constraints and multi-table inserts to validate records on write.Which consideration will impact the decisions made by the engineer while migrating this workload?","['A.Databricks only allows foreign key constraints on hashed identifiers, which avoid collisions in highly-parallel writes.', 'B.Foreign keys must reference a primary key field; multi-table inserts must leverage Delta Lake’s upsert functionality.', 'C.Committing to multiple tables simultaneously requires taking out multiple table locks and can lead to a state of deadlock.', 'D.All Delta Lake transactions are ACID compliant against a single table, and Databricks does not enforce foreign key constraints.']","['D.All Delta Lake transactions are ACID compliant against a single table, and Databricks does not enforce foreign key constraints.']",[],
160,examtopics databricks data engineer professional certification question 160,https://www.examtopics.com/discussions/databricks/view/142398-exam-certified-data-engineer-professional-topic-1-question/,"A data architect has heard about Delta Lake’s built-in versioning and time travel capabilities. For auditing purposes, they have a requirement to maintain a full record of all valid street addresses as they appear in the customers table.The architect is interested in implementing a Type 1 table, overwriting existing records with new values and relying on Delta Lake time travel to support long-term auditing. A data engineer on the project feels that a Type 2 table will provide better performance and scalability.Which piece of information is critical to this decision?","['A.Data corruption can occur if a query fails in a partially completed state because Type 2 tables require setting multiple fields in a single update.', 'B.Shallow clones can be combined with Type 1 tables to accelerate historic queries for long-term versioning.', 'C.Delta Lake time travel cannot be used to query previous versions of these tables because Type 1 changes modify data files in place.', 'D.Delta Lake time travel does not scale well in cost or latency to provide a long-term versioning solution.']",['D.Delta Lake time travel does not scale well in cost or latency to provide a long-term versioning solution.'],[],
