question_num,search_query,url,Question,Options,Correct answer,Image URLs,Comments
51,examtopics databricks data engineer professional certification question 51,https://www.examtopics.com/discussions/databricks/view/133247-exam-certified-data-engineer-professional-topic-1-question/,Where in the Spark UI can one diagnose a performance problem induced by not leveraging predicate push-down?,"['A.In the Executor’s log file, by grepping for ""predicate push-down""', 'B.In the Stage’s Detail screen, in the Completed Stages table, by noting the size of data read from the Input column', 'C.In the Storage Detail screen, by noting which RDDs are not stored on disk', 'D.In the Delta Lake transaction log. by noting the column statistics', 'E.In the Query Detail screen, by interpreting the Physical Plan']","['E.In the Query Detail screen, by interpreting the Physical Plan']",[],
52,examtopics databricks data engineer professional certification question 52,https://www.examtopics.com/discussions/databricks/view/120580-exam-certified-data-engineer-professional-topic-1-question/,Review the following error traceback:Which statement describes the error being raised?,"['A.The code executed was PySpark but was executed in a Scala notebook.', 'B.There is no column in the table named heartrateheartrateheartrate', 'C.There is a type error because a column object cannot be multiplied.', 'D.There is a type error because a DataFrame object cannot be multiplied.', 'E.There is a syntax error because the heartrate column is not correctly identified as a column.']",['B.There is no column in the table named heartrateheartrateheartrate'],['https://img.examtopics.com/certified-data-engineer-professional/image26.png'],
53,examtopics databricks data engineer professional certification question 53,https://www.examtopics.com/discussions/databricks/view/128879-exam-certified-data-engineer-professional-topic-1-question/,Which distribution does Databricks support for installing custom Python code packages?,"['A.sbt', 'B.CRANC. npm', 'D.Wheels', 'E.jars']",['D.Wheels'],[],
54,examtopics databricks data engineer professional certification question 54,https://www.examtopics.com/discussions/databricks/view/128880-exam-certified-data-engineer-professional-topic-1-question/,Which Python variable contains a list of directories to be searched when trying to locate required modules?,"['A.importlib.resource_path', 'B.sys.path', 'C.os.path', 'D.pypi.path', 'E.pylib.source']",['B.sys.path'],[],
55,examtopics databricks data engineer professional certification question 55,https://www.examtopics.com/discussions/databricks/view/128881-exam-certified-data-engineer-professional-topic-1-question/,"Incorporating unit tests into a PySpark application requires upfront attention to the design of your jobs, or a potentially significant refactoring of existing code.Which statement describes a main benefit that offset this additional effort?","['A.Improves the quality of your data', 'B.Validates a complete use case of your application', 'C.Troubleshooting is easier since all steps are isolated and tested individually', 'D.Yields faster deployment and execution times', 'E.Ensures that all steps interact correctly to achieve the desired end result']",['C.Troubleshooting is easier since all steps are isolated and tested individually'],[],
56,examtopics databricks data engineer professional certification question 56,https://www.examtopics.com/discussions/databricks/view/128882-exam-certified-data-engineer-professional-topic-1-question/,Which statement describes integration testing?,"['A.Validates interactions between subsystems of your application', 'B.Requires an automated testing framework', 'C.Requires manual intervention', 'D.Validates an application use case', 'E.Validates behavior of individual elements of your application']",['A.Validates interactions between subsystems of your application'],[],
57,examtopics databricks data engineer professional certification question 57,https://www.examtopics.com/discussions/databricks/view/127546-exam-certified-data-engineer-professional-topic-1-question/,Which REST API call can be used to review the notebooks configured to run as tasks in a multi-task job?,"['A./jobs/runs/list', 'B./jobs/runs/get-output', 'C./jobs/runs/get', 'D./jobs/get', 'E./jobs/list']",['D./jobs/get'],[],
58,examtopics databricks data engineer professional certification question 58,https://www.examtopics.com/discussions/databricks/view/118942-exam-certified-data-engineer-professional-topic-1-question/,"A Databricks job has been configured with 3 tasks, each of which is a Databricks notebook. Task A does not depend on other tasks. Tasks B and C run in parallel, with each having a serial dependency on task A.If tasks A and B complete successfully but task C fails during a scheduled run, which statement describes the resulting state?","['A.All logic expressed in the notebook associated with tasks A and B will have been successfully completed; some operations in task C may have completed successfully.', 'B.All logic expressed in the notebook associated with tasks A and B will have been successfully completed; any changes made in task C will be rolled back due to task failure.', 'C.All logic expressed in the notebook associated with task A will have been successfully completed; tasks B and C will not commit any changes because of stage failure.', 'D.Because all tasks are managed as a dependency graph, no changes will be committed to the Lakehouse until ail tasks have successfully been completed.', 'E.Unless all tasks complete successfully, no changes will be committed to the Lakehouse; because task C failed, all commits will be rolled back automatically.']",['A.All logic expressed in the notebook associated with tasks A and B will have been successfully completed; some operations in task C may have completed successfully.'],[],
59,examtopics databricks data engineer professional certification question 59,https://www.examtopics.com/discussions/databricks/view/132441-exam-certified-data-engineer-professional-topic-1-question/,"A Delta Lake table was created with the below query:Realizing that the original query had a typographical error, the below code was executed:ALTER TABLE prod.sales_by_stor RENAME TO prod.sales_by_storeWhich result will occur after running the second command?","['A.The table reference in the metastore is updated and no data is changed.', 'B.The table name change is recorded in the Delta transaction log.', 'C.All related files and metadata are dropped and recreated in a single ACID transaction.', 'D.The table reference in the metastore is updated and all data files are moved.', 'E.A new Delta transaction log Is created for the renamed table.']",['A.The table reference in the metastore is updated and no data is changed.'],['https://img.examtopics.com/certified-data-engineer-professional/image27.png'],
60,examtopics databricks data engineer professional certification question 60,https://www.examtopics.com/discussions/databricks/view/120443-exam-certified-data-engineer-professional-topic-1-question/,"The data engineering team maintains a table of aggregate statistics through batch nightly updates. This includes total sales for the previous day alongside totals and averages for a variety of time periods including the 7 previous days, year-to-date, and quarter-to-date. This table is named store_saies_summary and the schema is as follows:The table daily_store_sales contains all the information needed to update store_sales_summary. The schema for this table is: store_id INT, sales_date DATE, total_sales FLOATIf daily_store_sales is implemented as a Type 1 table and the total_sales column might be adjusted after manual data auditing, which approach is the safest to generate accurate reports in the store_sales_summary table?","['A.Implement the appropriate aggregate logic as a batch read against the daily_store_sales table and overwrite the store_sales_summary table with each Update.', 'B.Implement the appropriate aggregate logic as a batch read against the daily_store_sales table and append new rows nightly to the store_sales_summary table.', 'C.Implement the appropriate aggregate logic as a batch read against the daily_store_sales table and use upsert logic to update results in the store_sales_summary table.', 'D.Implement the appropriate aggregate logic as a Structured Streaming read against the daily_store_sales table and use upsert logic to update results in the store_sales_summary table.', 'E.Use Structured Streaming to subscribe to the change data feed for daily_store_sales and apply changes to the aggregates in the store_sales_summary table with each update.']",['A.Implement the appropriate aggregate logic as a batch read against the daily_store_sales table and overwrite the store_sales_summary table with each Update.'],['https://img.examtopics.com/certified-data-engineer-professional/image28.png'],
